编号,名称,描述,介绍,特性,属性,总种族值,生命,物攻,魔攻,物防,魔防,速度,阶段,进化等级,进化方式,身高,体重,蛋组,性别比例,进化链,有地区形态,有首领形态,有异色形态
116,小独角兽,独角精灵,漂亮柔软的绿色鬃毛，让谁看了都想抚摸一下。不知是不是它散发出的魔力的缘故，在它的身边会感觉心灵也变得纯净了。,目空-携带的非光系技能，威力+25%。,光,476,79,48,129,62,74,84,1,0,,0.98-1.41,41.5-55.6,动物组-巨灵组,雄性 50% / 雌性 50%,小独角兽进化链,否,是,是
117,白金独角兽,独角精灵,在黑暗中能够照亮周围，像神明一般圣洁而华丽。头顶的角除了穿刺敌人，还能施放出让人震撼的强大魔法冲击。,目空-携带的非光系技能，威力+25%。,光,595,99,61,161,77,92,105,2,40,,1.35-1.93,94.5-105.0,动物组-巨灵组,雄性 50% / 雌性 50%,小独角兽进化链,否,是,是
118,旋叶虫,拟态精灵,常挂在树上栖息，不仔细观察的话很难发现它们的踪迹。以类似树叶而闻名，颜色、形状，叶脉、叶梗，甚至是破损处也都非常相似。白天多保持静止，风起时会轻微摇晃，让自己更像一片真的叶子。,共鸣-携带的「虫鸣」技能威力+20。,普通-虫,326,56,15,65,63,55,72,1,0,,0.1-0.15,0.1-0.85,昆虫组-植物组,雄性 50% / 雌性 50%,旋叶虫进化链,是,是,否
119,蓬叶虫,拟态精灵,必要时能借助鞘翅进行短暂滑行，从一处树冠滑到另一处枝丫。它经常在风力带动下被动迁移，偶尔被风刮走很远，落稳后呆住好一会才能意识到周围环境已经变了。,共鸣-携带的「虫鸣」技能威力+20。,普通-虫,433,74,19,87,84,73,96,2,25,,0.53-0.76,0.65-1.68,昆虫组-植物组,雄性 50% / 雌性 50%,旋叶虫进化链,是,是,否
120,风滚暮虫,拟态精灵,借风而行的精灵，利用风把自己带离原地，遇到水面或湿润区域就停下来休息。滚动的时候可以帮助植物传播种子。性情温和，对精灵的幼年体都照顾有加，因此与不少精灵能维持友好的关系。,共鸣-携带的「虫鸣」技能威力+20。,普通-虫,542,93,24,109,105,91,120,3,45,,0.6-0.7,1.45-3.43,昆虫组-植物组,雄性 50% / 雌性 50%,旋叶虫进化链,是,是,否
121,小黑猫,猫精灵,在白天，小黑猫们经常闭上眼睛，揣着手休息，如果冒昧地扒开它们的眼皮，会发现很多时候并没有在睡觉，有一种说法：小黑猫闭眼就是在思考。,预警-若敌方技能足够击败自己，回合开始时自己获得速度+50。,普通,491,119,42,99,72,103,56,1,0,,0.55-0.65,3.1-4.5,动物组-妖精组,雄性 50% / 雌性 50%,小黑猫进化链,否,是,否
122,黑猫巫师,猫精灵,夜晚总是在看星星，长久地观察星空和白天不停地思考，似乎让它们拥有了占卜的能力。偶尔会看到有小洛克拿着可可果去拜托黑猫巫师帮忙预测期末考试题。,预警-若敌方技能足够击败自己，回合开始时自己获得速度+50。,普通,615,149,53,124,90,129,70,2,40,,0.85-0.97,8.1-9.5,动物组-妖精组,雄性 50% / 雌性 50%,小黑猫进化链,否,是,否
123,忽幽狸,狸精灵,忽幽狸的尾巴覆盖着剧毒尖刺，静止时会伪装成灌木枝条。当感知到危险，尾巴会瞬间硬化成防御姿态，刺尖分泌的神经毒素能使猎物肌肉僵直。检测显示，其毒素对草系精灵效果加倍。,下黑手-敌方精灵离场后，更换入场的精灵获得5层中毒。,幽-毒,493,78,87,84,84,56,104,1,0,,0.76-1.09,8.3-9.8,动物组-拟人组,雄性 50% / 雌性 50%,忽幽狸进化链,否,否,否
124,影狸,狸精灵,总是弓着身子，脊椎特化为毒刺弹射装置，用来发射尾巴上的尖刺。体内另外储存了几十根可再生的空心毒刺，通过弹射加压能以每秒10发的速度喷射。,下黑手-敌方精灵离场后，更换入场的精灵获得5层中毒。,幽-毒,616,97,109,105,105,70,130,2,36,,1.11-1.59,23.5-37.5,动物组-拟人组,雄性 50% / 雌性 50%,忽幽狸进化链,否,否,否
125,多多,帽帽精灵,头部帽子一样的组织触感舒适，冰凉弹软。受到惊吓的话，会从头部喷射出大量毒液，之后迅速缩起陷入昏厥状态。,毒牙-使敌方获得中毒时，也会使其获得物攻-40%和速度-40。,毒-地,335,51,53,53,80,44,54,1,0,,0.45-0.65,14.6-18.6,拟人组,雄性 50% / 雌性 50%,多多进化链,否,否,否
126,多啦多,帽帽精灵,头部的粘液组织十分不稳定，情绪激动时甚至会掉落一部分。受到刺激后粘液会挥发到空气中，释放致幻毒素。,毒牙-使敌方获得中毒时，也会使其获得物攻-40%和速度-40。,毒-地,446,68,70,70,107,59,72,2,16,,0.58-0.83,28.5-34.6,拟人组,雄性 50% / 雌性 50%,多多进化链,否,否,否
127,古啦多,帽帽精灵,头部突起越复杂代表着年龄越大，突起内部充斥剧毒毒液，被一层外套膜包裹起来。遇到危险时，会释放更为强大的致幻毒素，但是并不致命。因此，部分洛克因为想要致幻体验，而专门寻找它们。,毒牙-使敌方获得中毒时，也会使其获得物攻-40%和速度-40。,毒-地,559,85,88,88,134,74,90,3,36,,0.69-0.99,43.5-58.6,拟人组,雄性 50% / 雌性 50%,多多进化链,否,否,否
128,哭哭菇,菇精灵,成群地栖息在潮湿少光的地域，分泌出来的黏液具有独特的气味，引诱旅人深入密林，吸入过多这种气体便会不停流泪。,吸积盘-回合结束时，敌方获得2层星陨印记。,幻,279,74,38,41,30,60,36,1,0,,0.33-0.47,1.8-3.2,植物组,雄性 50% / 雌性 50%,哭哭菇进化链,否,否,否
129,怖须菇,菇精灵,会将身体埋入土壤中，依靠独特的腺体将吸收的水分转化为带有毒性的黏液，干燥与炎热时，散发的气味微微发酸，闻到会想起悲伤的事情。,吸积盘-回合结束时，敌方获得2层星陨印记。,幻,372,99,50,55,40,80,48,2,24,,0.69-0.99,8.72-15.6,植物组,雄性 50% / 雌性 50%,哭哭菇进化链,否,否,否
130,怖哭菇,菇精灵,长期在暗处生存，双目视觉逐渐退化，演化出了胸前能够探测、储存幻系能量的触手。幻系能量凝聚在菌柄中，赋予了其极强的再生能力，即便是经过火焰的炙烤，依旧能迅速生出饱满的躯体。,吸积盘-回合结束时，敌方获得2层星陨印记。,幻,466,124,63,69,50,100,60,3,38,,1.23-1.76,22.5-28.6,植物组,雄性 50% / 雌性 50%,哭哭菇进化链,否,否,否
131,恶魔狼,狼精灵,胸前的毛发非常粗糙，似乎能够起到保护作用。能够在战场上高速地移动，迅猛的前爪攻击十分有力。,悲悯-己方队伍中每有1只力竭的精灵，自己获得双攻+30%。,恶,548,115,114,45,91,63,120,1,0,,1.23-1.76,74.0-92.0,动物组,雄性 50% / 雌性 50%,恶魔狼进化链,否,是,是
132,小电企鹅,企鹅精灵,它们生活在寒冷的水域，会用头顶的晶体吸收空气里的电能量。当能量充足时，晶体表面会浮现细碎的亮纹和电光。偏爱暴雪与打雷的天气，风雪越大、雷声越近，它们越活跃。,超负荷-攻击技能获得迸发：敌方获得全技能能耗+1。,冰-电,467,75,45,101,59,87,100,1,0,,0.44-0.56,3.82-5.39,天空组,雄性 50% / 雌性 50%,小电企鹅进化链,否,否,否
133,电企鹅,企鹅精灵,常成群扎堆出现来汲取更充沛的电能量，在寒冷区域居民的传说里，电企鹅大量聚集往往预示极端天气将至，当地还有个习俗——如果遇到雷暴天气，就把电企鹅放在房顶上，可以避免雷电损坏房屋。,超负荷-攻击技能获得迸发：敌方获得全技能能耗+1。,冰-电,583,94,56,126,73,109,125,2,32,,0.9-1.14,14.6-26.9,天空组,雄性 50% / 雌性 50%,小电企鹅进化链,否,否,否
134,雪豆丁,冰冰凉精灵,出生后被父母放置在雪窝里，进食补充的能量会在冬眠时令身躯快速成长。大手大脚的雪豆丁习惯于翻滚着移动。思维直接，比较容易发脾气，可以抚摸脑袋令其冷静。,结晶水-初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,冰,429,97,104,47,83,62,36,1,0,,0.86-1.23,9.5-12.5,拟人组-巨灵组,雄性 50% / 雌性 50%,雪豆丁进化链,否,否,否
135,雪蛮人,冰冰凉精灵,上肢沉重却灵活，体表鬃毛格外厚重，兼具保暖与防护的功能。吸收的寒气能够压缩后储存在脊背和额头上，形成坚实有力的冰晶，用以保持平衡和击打对手。,结晶水-初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,冰,574,130,139,63,111,83,48,2,28,,1.11-1.59,59.0-76.0,拟人组-巨灵组,雄性 50% / 雌性 50%,雪豆丁进化链,否,否,否
136,雪巨人,冰冰凉精灵,雪巨人感官极其敏锐，能感受到天气和气温的微小变化，会在族群的幼崽沉睡时巡逻保护它们。双臂能够撑地进行超远距离跳跃，在雪山里飞速前进，跳跃时在岩石上留下后足形状。,结晶水-初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,冰,718,162,174,79,139,104,60,3,40,,1.61-2.31,156.0-187.0,拟人组-巨灵组,雄性 50% / 雌性 50%,雪豆丁进化链,否,否,否
137,呼呼猪,圆滚滚精灵,得益于能够分泌疏水性油脂的皮脂腺，皮毛紧实而油亮，既防水又防寒。四肢短而粗壮，跑起来很快，奔跑时偶尔轻微摆动尾巴用来保持平衡。,冻土-每携带1个冰系技能进入战斗，地系技能威力+10%。,冰-地,463,98,95,33,88,81,68,1,0,,0.52-0.75,6.8-8.9,动物组,雄性 50% / 雌性 50%,呼呼猪进化链,否,否,是
138,獠牙猪,圆滚滚精灵,身躯看似圆润，但其实十分健壮灵活，拥有令人意想不到的爆发力，即使在冰天雪地里，也非常有活力。,冻土-每携带1个冰系技能进入战斗，地系技能威力+10%。,冰-地,579,123,119,41,110,101,85,2,33,,0.77-1.1,52.8-67.4,动物组,雄性 50% / 雌性 50%,呼呼猪进化链,否,否,是
139,雪娃娃,守望精灵,它对洛克族异常友好，面对温暖的抚摸与拥抱也从不抗拒。传说它们是最早与洛克建立契约的种族之一，耳朵的轮廓正像星之链在契约双方之间勾勒出的形状。,冰封-在场时，敌方全技能能耗+1。,冰,385,56,67,67,63,63,69,1,0,,0.29-0.42,6.8-8.16,妖精组,雄性 50% / 雌性 50%,雪娃娃进化链,否,否,否
140,冰封怨灵,守望精灵,缔结契约的向往更明显，甚至会主动靠近潜在契约者，似乎由冰元素和某种尚不清楚的物质构成，推测该物质来自强烈的信念与精神力，使它们的契约更稳定、也更难被外力改变。,冰封-在场时，敌方全技能能耗+1。,冰,515,75,90,90,84,84,92,2,26,,0.96-1.37,24.5-31.6,妖精组,雄性 50% / 雌性 50%,雪娃娃进化链,否,否,否
141,雪灵,守望精灵,只有当契约者死亡的时候才会寻找下一位契约者。假如原契约者活着，但它们必须更换契约者的话，可能会自我了结生命。,冰封-在场时，敌方全技能能耗+1。,冰,643,94,112,112,105,105,115,3,42,,1.09-1.56,56.4-68.4,妖精组,雄性 50% / 雌性 50%,雪娃娃进化链,否,否,否
142,大耳帽兜,兔精灵,全身覆满白色绒毛，能抵御寒冷，仔细观察它们的毛毛分为两种，一种是顺滑纤细的针毛，另一种是又软又密的绒毛。虽然体型小，但却不畏惧寒冷，小小的手爪柔软又温暖。似乎喜欢抱抱。,捉迷藏-使敌方获得冻结时，也会使其获得全技能能耗+1。,冰-萌,370,78,62,59,39,78,54,1,0,,0.39-0.42,8.39-10.7,妖精组-拟人组,雌性 100%,大耳帽兜进化链,否,是,是
143,帽兜娃娃,伴生精灵,头部浓密柔软的绒毛负责锁住热量，形成高效的保暖屏障，减少温度流失，兜帽形态的头部结构也可以有效防风。同种族喜欢聚集在一起，贴着脑袋，发热保暖。可能因为这种习性，它们产生了一些社会性。,捉迷藏-使敌方获得冻结时，也会使其获得全技能能耗+1。,冰-萌,493,104,83,78,52,104,72,2,32,,0.4-0.57,19.05-26.8,妖精组-拟人组,雌性 100%,大耳帽兜进化链,否,是,是
144,雪影娃娃,伴生精灵,进化后头部绒毛完全脱落，褪去的绒毛承载着进化前的回忆，被制作成一个毛绒娃娃。毛绒娃娃如果能抵御一个严冬就可以获得生命，过程中需要雪影娃娃的悉心养护。,捉迷藏-使敌方获得冻结时，也会使其获得全技能能耗+1。,冰-萌,617,130,103,98,66,130,90,3,48,,0.64-0.92,31.8-36.6,妖精组-拟人组,雌性 100%,大耳帽兜进化链,否,是,是
145,权杖-Ⅱ,科技精灵,黄金时代的工匠们曾将占星与炼金并列为同一门学问的两种语言。于是他们以火焰为芯，以螺纹为骨，铸成了权杖。现在只有极少量留存下来。,机械变式-若回合内自己携带的技能位置发生变化，该技能能耗永久-1。,机械,522,82,84,78,109,109,60,1,0,,0.45-0.55,28.5-35.7,机械组,雄性 50% / 雌性 50%,权杖-Ⅱ进化链,否,否,否
146,权杖-V,科技精灵,在充满斗争与冲突的时代中诞生的精灵，背负着工匠们的意志、行动与他们所点燃的第一把火。在诞生之初能向周围的机械精灵发出统一指令，它们能协调队列、分配任务，让贵族看到了机械系精灵无限的可能性。,机械变式-若回合内自己携带的技能位置发生变化，该技能能耗永久-1。,机械,652,103,105,97,136,136,75,2,40,,0.95-1.05,98.0-108.0,机械组,雄性 50% / 雌性 50%,权杖-Ⅱ进化链,否,否,否
147,灵狐,狐精灵,鼻子呼出热热的气可能会灼伤小洛克的手，如果在雪山不小心被冻伤，去拜托灵狐帮忙吹一口热气，冻伤瞬间就会痊愈了。,灵魂灼伤-冰系技能使敌方获得4层灼烧，火系技能使敌方获得2层冻结。,火-冰,347,69,52,52,50,64,60,1,0,,0.56-0.8,7.4-8.9,动物组,雄性 50% / 雌性 50%,灵狐进化链,否,否,是
148,九尾狐,狐精灵,尾巴里储存着强大的魔力，能够释放一种特殊的雪魔法，保护越冬作物免受冻害、消灭土壤中害虫，如果在冬天的农田里看到九尾狐出现，就知道明年一定会丰收。,灵魂灼伤-冰系技能使敌方获得4层灼烧，火系技能使敌方获得2层冻结。,火-冰,465,92,70,70,67,86,80,2,30,,0.77-1.11,13.08-21.05,动物组,雄性 50% / 雌性 50%,灵狐进化链,否,否,是
149,尖嘴狐仙,狐仙精灵,尖嘴狐仙能通过感知大地的温度变化来预测农时。当它摇着尾巴经过农田时，尾巴扇动的气流会形成特殊的暖湿环流，让田地在寒冷的初春也能保持适宜作物生长的温度。,灵魂灼伤-冰系技能使敌方获得4层灼烧，火系技能使敌方获得2层冻结。,火-冰,580,115,87,87,84,107,100,3,50,,1.34-1.92,69.5-78.5,动物组,雄性 50% / 雌性 50%,灵狐进化链,否,否,是
150,里奥,翼系精灵王,有着圆滚滚的身躯，小小的翅膀还无法熟练飞翔，却能和愿力发生共鸣，从而获得力量。“和伙伴在一起的安全感连美食都不能替代。即使有时候像个小跟屁虫也无所谓。”,飓风-对本精灵的技能，若其他翼系精灵携带相同技能，则获得迅捷。被敌方精灵击败时，自己额外损失1点魔力。,翼,411,79,65,65,77,50,75,1,0,,0.35-0.45,4.8-5.9,,雄性 50% / 雌性 50%,里奥进化链,否,否,否
151,灵羽勇士,翼系精灵王,弱小的家伙为了伙伴却愿意勇敢向前！光羽圣殿的门扉悄然开启，沐浴在圣光之力的启迪中，澎湃的力量汹涌而来。“它的思绪已沉醉在无垠的天际中，这片蓝天便是它魂牵梦绕的地方。”,飓风-对本精灵的技能，若其他翼系精灵携带相同技能，则获得迅捷。被敌方精灵击败时，自己额外损失1点魔力。,翼,547,105,87,87,102,66,100,2,28,突破1次,0.55-0.65,11.5-14.2,,雄性 50% / 雌性 50%,里奥进化链,否,否,否
152,圣羽翼王,翼系精灵王,庇佑这片纯粹的净土，是拥有强大力量之后背负的使命。从上古壁画中得知尘封的过往，它寻求力量，发自内心地想要保护现在的一切。“张开圣洁的羽翼，为同伴抵挡风雨，便是它心中的圣歌。”,飓风-对本精灵的技能，若其他翼系精灵携带相同技能，则获得迅捷。被敌方精灵击败时，自己额外损失1点魔力。,翼,686,132,109,109,128,83,125,3,40,累计突破2次,2.1-2.55,195.0-296.0,,雄性 50% / 雌性 50%,里奥进化链,否,否,否
153,松仔,松羊精灵,如果察觉到小洛克踏入森林，它们会把角塞在树杈中间伪装松果，诱使小洛克靠近观察。被林间露水打湿的话它们会结伴去晒太阳，晒太阳的时候会散发香香的味道。,野性感官-应对成功后，下次行动先手+1。,草-武,380,63,83,34,77,60,63,1,0,,0.52-0.68,6.25-7.85,动物组,雄性 50% / 雌性 50%,松仔进化链,否,否,否
154,松叶羊,松羊精灵,刚刚经历换角，松果模样的角脱落，身上的针叶变得锋利，逐渐觉醒领地意识。换角的过程中不要贸然靠近，不然会被踢出几米远。被踢的时候可以闻到它们身上带着森林中泥土和青草的香味。,野性感官-应对成功后，下次行动先手+1。,草-武,507,84,111,46,102,80,84,2,16,,1.08-1.33,19.09-28.06,动物组,雄性 50% / 雌性 50%,松仔进化链,否,否,否
155,针叶巡林,松羊精灵,"丛林的向导，拥有修长的四肢与轻盈的骨骼结构，发育完全的角呈树枝状。“所谓的规则像是枝条，又好像荆棘。被缠上时使人烦躁，被刺伤时让人疼痛。但规则也有如树干，在支撑着森林的生命——所谓自由，亦是如此""。",野性感官-应对成功后，下次行动先手+1。,草-武,634,105,139,57,128,100,105,3,36,,1.86-2.14,56.8-69.02,动物组,雄性 50% / 雌性 50%,松仔进化链,否,否,否
156,小勇狮,炎狮精灵,喉咙处有容纳火系魔法的身体结构，在小勇狮身上还不太明显，偶尔能发现它打喷嚏的时候会喷出小火花。,圣火骑士-应对成功后，下次攻击威力翻倍。,火-武,358,82,31,66,53,78,48,1,0,,0.67-0.81,8.5-12.05,动物组,雄性 50% / 雌性 50%,小勇狮进化链,否,否,否
157,炽焰狮,炎狮精灵,只是咆哮就能点燃空气，附着火系魔法的利爪能撕裂岩石。喉咙处的火囊发育成熟，可以喷吐高温火球，但偶尔会因能量过载而引发小型爆炸。,圣火骑士-应对成功后，下次攻击威力翻倍。,火-武,478,110,41,89,70,104,64,2,16,,1.12-1.45,46.02-67.05,动物组,雄性 50% / 雌性 50%,小勇狮进化链,否,否,否
158,炽心勇狮,炎狮精灵,不休的守护者，甚至能将无私守护的意志凌驾于一般契约之上。虽然性格高傲，但对认可的伙伴极为忠诚。拥有永不熄灭的火焰心脏，绝对的正义是支持烈焰的力量源泉。 “让我见识看看吧，你的正义之心！”,圣火骑士-应对成功后，下次攻击威力翻倍。,火-武,597,137,51,111,88,130,80,3,36,,1.78-1.97,94.7-118.05,动物组,雄性 50% / 雌性 50%,小勇狮进化链,否,否,否
159,水滴蛇,水蛇精灵,和水滴蛇对上眼神的时候，最好保持礼貌并尝试解答它们留下的难题，如果拒绝回答或敷衍，往往会招来恶作剧，让你在不知不觉中迷路或错过冒险的宝藏。,思维之盾-应对成功后，下次行动技能能耗-5。,水-武,378,63,66,62,62,62,63,1,0,,0.53-0.69,2.25-4.1,两栖组-妖精组,雄性 50% / 雌性 50%,水滴蛇进化链,否,否,否
160,水蛇锁,水蛇精灵,水蛇锁经常悄悄靠近洛克，没有半点声响。它们不以贪婪著称，也不说谎。它们的目的是汲取你的知识。试试用最珍贵的知识与它交换，或许就能平安离开。,思维之盾-应对成功后，下次行动技能能耗-5。,水-武,505,84,88,83,83,83,84,2,16,,0.94-1.2,18.07-27.05,两栖组-妖精组,雄性 50% / 雌性 50%,水滴蛇进化链,否,否,否
161,游蛇魔使,水蛇精灵,真理的引路人，传闻它们最初的使命早已失败，但仍在守望，守望古老预言的验证，或是等待一段新的契约。它们拥有修长柔软的尾巴，据说尾巴尖端可以打开远古的知识之门。“真理从不主动现身——你愿意推开这扇门吗？”,思维之盾-应对成功后，下次行动技能能耗-5。,水-武,630,105,110,104,103,103,105,3,36,,2.15-3.0,71.05-86.05,两栖组-妖精组,雄性 50% / 雌性 50%,水滴蛇进化链,否,否,否
162,公平鸽,公平精灵,第一、绝对不放过任何争执！第二、绝对不能因为睡过头晚到现场！第三、绝对要公正裁判！第四、绝对要在被双方驱逐之前做出判决。——《公平鸽的守则》,衡量-入场时，复制敌方的增益。在场时，若敌方获得增益自己也会获得。,普通,649,113,93,93,125,125,100,1,0,,0.45-0.6,2.5-3.94,天空组,雄性 50% / 雌性 50%,公平鸽进化链,否,否,是
163,小怂猫,小熊猫精灵,胆量极小的精灵，曾因极少被观测记录，被王国记录为已灭绝的物种。翼膜上的眼状图案可以吓退大多数天敌，遇到敌人会张开双臂一动不动地站着，一直到对方离开或者自己昏厥。,威慑-打断敌方时，被打断的技能进入2回合冷却。,武,522,74,106,101,89,76,76,1,0,,0.59-0.84,19.6-22.5,动物组-拟人组,雄性 50% / 雌性 50%,小怂猫进化链,否,否,否
164,怒目怂猫,小熊猫精灵,胸脯处长着结构独特的气囊，能够迅速膨起至数倍大，形状像是血盆大口，可以吓退敌人。想回到正常姿势需要排出胸脯中的气体，排气的时候会发出非常可爱的声音，一般会在没有其他生物看到的时候偷偷排气。,威慑-打断敌方时，被打断的技能进入2回合冷却。,武,651,92,132,126,111,95,95,2,36,,1.3-1.65,64.5-78.5,动物组-拟人组,雄性 50% / 雌性 50%,小怂猫进化链,否,否,否
165,小狮鹫,蛋壳精灵,只能勉强顶破头部的壳，剩余的蛋壳会陪伴小狮鹫度过幼年时期，能够保护尚且脆弱的羽毛。流线型的蛋壳构造还能减小风阻，丝毫不会影响行动。,乘风连击-使用翼系技能后，获得连击数+1。,翼,362,64,70,41,76,39,72,1,0,,0.71-1.02,11.5-17.5,动物组-天空组,雄性 50% / 雌性 50%,小狮鹫进化链,是,否,否
166,神圣狮鹫,狮鹫精灵,悬崖间的风往往更加凶猛，崖间的狮鹫家族在这里锻炼出能抵抗风阻的飞行能力，身上的羽毛多为修长的硬羽而较少绒毛，在乱流里也稳住身形并快速调整航向。,乘风连击-使用翼系技能后，获得连击数+1。,翼,483,85,93,55,102,52,96,2,32,,1.01-1.44,49.5-56.8,动物组-天空组,雄性 50% / 雌性 50%,小狮鹫进化链,是,否,否
167,皇家狮鹫,狮鹫精灵,为了适应强风阻演化出了流线型的面部长羽，微微压住瞳孔是为了在崖间穿梭时更好地视物。尾羽更加修长，能够有效引导风的流动方向，让飞行更加省力和稳定。,乘风连击-使用翼系技能后，获得连击数+1。,翼,604,107,116,69,127,65,120,3,46,,1.72-2.45,125.0-170.5,动物组-天空组,雄性 50% / 雌性 50%,小狮鹫进化链,是,否,否
168,圆眼蜘蛛,蜘蛛精灵,幼体的圆眼蜘蛛并不太能织网捕食，多以青草，树果为食。复眼获取信息范围极大，速度极快，即便是独眼，圆眼蜘蛛获取信息速度远超过洛克族100倍。,毒腺-使用能耗小于等于1的技能时，敌方获得4层中毒。,虫,337,55,53,53,55,55,66,1,0,,0.48-0.68,3.5-5.0,昆虫组,雄性 50% / 雌性 50%,圆眼蜘蛛进化链,否,否,否
169,尖角蜘蛛,蜘蛛精灵,各关节都覆盖着绒毛，绒毛可以疏水和保暖。在湿滑的雨天也可以自由行走，世界的动态在它们眼里显得很慢，所以大部份尖角蜘蛛都是急性子。,毒腺-使用能耗小于等于1的技能时，敌方获得4层中毒。,虫-毒,448,74,70,70,73,73,88,2,24,,0.68-0.98,7.75-9.6,昆虫组,雄性 50% / 雌性 50%,圆眼蜘蛛进化链,否,否,否
170,芋香巨角蛛,蜘蛛精灵,颜色鲜艳美丽，尾部丝囊中的液体有剧毒，织出的蜘蛛网散发异香。依靠体毒和利刺能轻易捕获猎物，从不群居，个体之间都保持一定距离，互不侵犯。,毒腺-使用能耗小于等于1的技能时，敌方获得4层中毒。,虫-毒,560,92,88,88,91,91,110,3,40,,0.9-1.29,31.75-43.6,昆虫组,雄性 50% / 雌性 50%,圆眼蜘蛛进化链,否,否,否
171,波波螺,海螺精灵,经常频繁抖动身体，推测是缓解外壳生长带来的不适感。它们常集体排成一列迎向海浪，借助外壳的结构消解冲击。浪头拍来时会张口吸入送上门的食物，连很硬的东西也能消化。,消波块-每携带1个水系技能进入战斗，地系技能能耗-1。,地-水,380,67,59,59,87,66,42,1,0,,0.32-0.42,4.85-5.65,两栖组-大地组,雄性 50% / 雌性 50%,波波螺进化链,是,否,否
172,消波螺,海螺精灵,进化后，外壳生长速度更快，更需要精心维护——它们会定期在岩石上打磨外壳。个体之间还会互相叠在一起摩擦打磨，发出“砰砰”的声响。若较长时间没有打磨，行动会明显变慢。,消波块-每携带1个水系技能进入战斗，地系技能能耗-1。,地-水,505,89,78,78,116,88,56,2,16,,0.68-0.82,46.5-69.9,两栖组-大地组,雄性 50% / 雌性 50%,波波螺进化链,是,否,否
173,嗜波螺,海螺精灵,在海浪冲击下，演化出坚韧的矿物质石柱外壳，是一种非常稳定的消波结构，能把浪涌的力量层层化解。声音在石柱间隙中不断反射产生共鸣，能发出类似海浪的声音。,消波块-每携带1个水系技能进入战斗，地系技能能耗-1。,地-水,634,112,98,98,146,110,70,3,32,,1.2-1.6,86.8-113.0,两栖组-大地组,雄性 50% / 雌性 50%,波波螺进化链,是,否,否
174,菇菇丁,菇精灵,“你知道吗？菇菇丁早已建立了广阔的地下王国，它们的菌丝体蔓延到整片森林，链接着许多土壤，将沾染了星星魔法碎屑的砂土和木头转化为魔法力量，循环利用，它们才是这片森林的主人！”,多人宿舍-自己的能量可以超过能量上限。,地-草,396,89,66,62,75,62,42,1,0,,0.25-0.35,1.1-2.76,植物组,雄性 50% / 雌性 50%,菇菇丁进化链,否,否,否
175,多菇丁,菇精灵,“又有了新的发现，多菇丁埋地时，是在通过菌丝体往地下传播信号，向其他菇精灵发出指令，它们信号的语言结构和古文字非常相似，也许它们的历史远比洛克以为的要早得多。”,多人宿舍-自己的能量可以超过能量上限。,地-草,528,119,88,83,100,82,56,2,36,天气小雨/大雨,0.6-0.7,5.4-6.8,植物组,雄性 50% / 雌性 50%,菇菇丁进化链,否,否,否
176,九幽菇,菇精灵,“在古老的遗迹中发现了九幽菇的石雕，当时的洛克对九幽菇充满了崇拜，它们会在仪式上围着九幽菇唱歌，并在祭祀的指导下服用其孢子，进入幻觉，企图沟通神明，然而也存在接触它的孢子太久而神志不清的情况，等等，难道我也……”,多人宿舍-自己的能量可以超过能量上限。,地-草,660,149,110,103,125,103,70,3,48,天气小雨/大雨,1.55-1.65,42.0-58.0,植物组,雄性 50% / 雌性 50%,菇菇丁进化链,否,否,否
177,斑斑,猫头鹰精灵,和噜噜家族是远亲，但几乎从不联系，即使是同种族的斑斑们互相之间也并不亲近。从蛋里孵出来之后就非常独立了，经常迈着毛茸茸的小腿，挥着小小的翅膀巡视领地，十分高傲。,逐魂鸟-能耗小于等于1的攻击技能，无法对自己造成伤害。,翼,532,87,90,90,82,91,92,1,0,,0.47-0.6,4.79-6.17,天空组,雄性 50% / 雌性 50%,斑斑进化链,否,否,是
178,斑枭,猫头鹰精灵,和洛克相交甚少的种族，拥有比较强的野性和攻击性。如果在领地内看到生面孔，可能俯冲下来攻击对方，拥有出色的深度感知能力和夜视能力，即使藏在阴影处也难以逃过它的双眼。,逐魂鸟-能耗小于等于1的攻击技能，无法对自己造成伤害。,翼,664,109,112,112,102,114,115,2,30,,0.68-0.81,15.9-23.8,天空组,雄性 50% / 雌性 50%,斑斑进化链,否,否,是
179,草头鸭,鸭仔精灵,眼睛长在两侧，不停地转动，不知道是不是在思考，很难解读它的行为规律。视觉范围有360度，从任何方向接近都会被它发现。,得寸进尺-天气为雨天，或处于其他水系环境中时，获得双攻+100%。,草,403,92,79,24,66,50,92,1,0,,0.5-0.72,4.9-6.57,两栖组-天空组,雄性 50% / 雌性 50%,草头鸭进化链,否,否,否
180,卷毛鸭,健身精灵,身形与洛克近似，空洞的目光仿佛若有所思。头顶的毛发十分柔软，自然卷曲，这在鸭精灵中十分少见。,得寸进尺-天气为雨天，或处于其他水系环境中时，获得双攻+100%。,草-武,504,116,98,29,83,63,115,2,40,,0.9-1.29,35.8-48.06,两栖组-天空组,雄性 50% / 雌性 50%,草头鸭进化链,否,否,否
